,state,income_2017,income_2018,income_2019
1,Alaska,73181,74346,78394
2,Arizona,56581,59246,70674
4,California,71805,75277,78105
8,Florida,52594,55462,58368
9,Georgia,56183,58756,56628
13,Indiana,54181,55746,66693
14,Iowa,58570,59955,66054
19,Maryland,80776,83242,95572
20,Massachusetts,77385,79835,87707
24,Missouri,53578,54478,60597
29,New Jersey,80088,81740,87726
30,New Mexico,46744,47169,53113
31,New York,64894,67844,71855
36,Oregon,60212,63426,74413
37,Pennsylvania,59105,60905,70582
40,South Dakota,56521,56274,64255
42,Texas,59206,60629,67444
44,Vermont,57513,60782,74305
45,Virginia,71535,72577,81313
46,Washington,70979,74073,82454
