,state,income_2017,income_2018,income_2019
0,Alabama,48123,49861,56200
1,Alaska,73181,74346,78394
2,Arizona,56581,59246,70674
3,Arkansas,45869,47062,54539
4,California,71805,75277,78105
5,Colorado,69117,71953,72499
6,Connecticut,74168,76348,87291
7,Delaware,62852,64805,74194
8,Florida,52594,55462,58368
9,Georgia,56183,58756,56628
10,Hawaii,77765,80212,88006
11,Idaho,52225,55583,65988
12,Illinois,62992,65030,74399
13,Indiana,54181,55746,66693
14,Iowa,58570,59955,66054
15,Kansas,56422,58218,73151
16,Kentucky,48375,50247,55662
17,Louisiana,46145,47905,51707
18,Maine,55277,55602,66546
19,Maryland,80776,83242,95572
20,Massachusetts,77385,79835,87707
21,Michigan,54909,56697,64119
22,Minnesota,68388,70315,81426
23,Mississippi,43529,44717,44787
24,Missouri,53578,54478,60597
25,Montana,53386,55328,60195
26,Nebraska,59970,59566,73071
27,Nevada,58003,58646,70906
28,New Hampshire,73381,74991,86900
29,New Jersey,80088,81740,87726
30,New Mexico,46744,47169,53113
31,New York,64894,67844,71855
32,North Carolina,52752,53855,61159
33,North Dakota,61843,63837,70031
34,Ohio,54021,56111,64663
35,Oklahoma,50051,51924,59397
36,Oregon,60212,63426,74413
37,Pennsylvania,59105,60905,70582
38,Rhode Island,63870,64340,70151
39,South Carolina,50570,52306,62028
40,South Dakota,56521,56274,64255
41,Tennessee,51340,52375,56627
42,Texas,59206,60629,67444
43,Utah,65358,71414,84523
44,Vermont,57513,60782,74305
45,Virginia,71535,72577,81313
46,Washington,70979,74073,82454
47,West Virginia,43469,44097,53706
48,Wisconsin,59305,60773,67355
49,Wyoming,60434,61584,65134
