,state,participation_rate_2017,sat_takers_2017,ebrw_2017,math_2017,total_2017,participation_rate_2018,sat_takers_2018,ebrw_2018,math_2018,total_2018,participation_rate_2019,sat_takers_2019,ebrw_2019,math_2019,total_2019,change_part_rate_2017_to_2018,change_part_rate_2018_to_2019,income_2017,income_2018,income_2019
0,Alaska,0.38,2971,547,533,1080,0.43,3334,562,544,1106,0.41,3212,556,541,1097,0.04999999999999999,-0.020000000000000018,73181,74346,78394
1,Arizona,0.3,20466,563,553,1116,0.29,20188,577,572,1149,0.31,21472,569,565,1134,-0.010000000000000009,0.020000000000000018,56581,59246,70674
2,California,0.53,226699,531,524,1055,0.6,262228,540,536,1076,0.63,272892,534,531,1065,0.06999999999999995,0.030000000000000027,71805,75277,78105
3,Florida,0.83,147058,520,497,1017,0.56,176746,550,549,1099,1.0,190853,516,483,999,-0.2699999999999999,0.43999999999999995,52594,55462,58368
4,Georgia,0.61,63805,535,515,1050,0.7,74240,542,522,1064,0.71,76340,538,519,1058,0.08999999999999997,0.010000000000000009,56183,58756,56628
5,Indiana,0.63,45622,542,532,1074,0.63,48962,542,532,1074,0.66,49565,543,537,1080,0.0,0.030000000000000027,54181,55746,66693
6,Iowa,0.02,861,641,635,1275,0.03,994,634,631,1265,0.03,994,622,622,1244,0.009999999999999998,0.0,58570,59955,66054
7,Maryland,0.69,42919,536,524,1060,0.76,48040,545,535,1080,0.82,51094,535,523,1058,0.07000000000000006,0.05999999999999994,80776,83242,95572
8,Massachusetts,0.76,56024,555,551,1107,0.8,59382,562,563,1125,0.81,59671,559,561,1120,0.040000000000000036,0.010000000000000009,77385,79835,87707
9,Missouri,0.03,1990,640,631,1271,0.04,2420,633,629,1262,0.04,2644,622,615,1236,0.010000000000000002,0.0,53578,54478,60597
10,New Jersey,0.7,72173,530,526,1056,0.82,84672,547,547,1094,0.82,84602,544,545,1090,0.12,0.0,80088,81740,87726
11,New Mexico,0.11,2342,577,561,1138,0.16,3225,552,540,1093,0.18,3705,543,530,1073,0.05,0.01999999999999999,46744,47169,53113
12,New York,0.67,135141,528,523,1052,0.79,162551,534,534,1068,0.79,162179,531,533,1064,0.12,0.0,64894,67844,71855
13,Oregon,0.43,15866,560,548,1108,0.48,17476,564,553,1117,0.51,18625,562,550,1112,0.04999999999999999,0.030000000000000027,60212,63426,74413
14,Pennsylvania,0.65,89218,540,531,1071,0.7,96740,547,539,1086,0.7,95794,545,537,1082,0.04999999999999993,0.0,59105,60905,70582
15,South Dakota,0.03,237,612,603,1216,0.03,260,622,618,1240,0.03,266,633,635,1268,0.0,0.0,56521,56274,64255
16,Texas,0.62,204409,513,507,1020,0.66,226374,520,512,1032,0.68,236665,515,507,1022,0.040000000000000036,0.020000000000000018,59206,60629,67444
17,Vermont,0.6,4303,562,551,1114,0.64,4323,565,554,1120,0.66,4373,560,546,1106,0.040000000000000036,0.020000000000000018,57513,60782,74305
18,Virginia,0.65,57453,561,541,1102,0.68,61576,567,550,1117,0.68,61182,567,551,1119,0.030000000000000027,0.0,71535,72577,81313
19,Washington,0.64,43911,541,534,1075,0.69,48574,543,538,1081,0.7,49630,539,535,1074,0.04999999999999993,0.010000000000000009,70979,74073,82454
