,state,participation_rate_2017,sat_takers_2017,ebrw_2017,math_2017,total_2017,participation_rate_2018,sat_takers_2018,ebrw_2018,math_2018,total_2018,participation_rate_2019,sat_takers_2019,ebrw_2019,math_2019,total_2019
0,Alabama,0.05,2393,593,572,1165,0.06,2878,595,571,1166,0.07,3240,583,560,1143
1,Alaska,0.38,2971,547,533,1080,0.43,3334,562,544,1106,0.41,3212,556,541,1097
2,Arizona,0.3,20466,563,553,1116,0.29,20188,577,572,1149,0.31,21472,569,565,1134
3,Arkansas,0.03,1065,614,594,1208,0.05,1591,592,576,1169,0.06,1790,582,559,1141
4,California,0.53,226699,531,524,1055,0.6,262228,540,536,1076,0.63,272892,534,531,1065
5,Colorado,0.11,5896,606,595,1201,1.0,58790,519,506,1025,1.0,59494,518,506,1024
6,Connecticut,1.0,43252,530,512,1041,1.0,44700,535,519,1053,1.0,44029,529,516,1046
7,Delaware,1.0,10060,503,492,996,1.0,11055,505,492,998,1.0,10990,499,486,985
8,Florida,0.83,147058,520,497,1017,0.56,176746,550,549,1099,1.0,190853,516,483,999
9,Georgia,0.61,63805,535,515,1050,0.7,74240,542,522,1064,0.71,76340,538,519,1058
10,Hawaii,0.55,7352,544,541,1085,0.56,7880,480,530,1010,0.54,7346,550,550,1100
11,Idaho,0.93,18757,513,493,1005,1.0,20484,508,493,1001,1.0,20749,505,488,993
12,Illinois,0.09,12402,559,556,1115,0.99,145919,513,506,1019,1.0,146681,509,504,1013
13,Indiana,0.63,45622,542,532,1074,0.63,48962,542,532,1074,0.66,49565,543,537,1080
14,Iowa,0.02,861,641,635,1275,0.03,994,634,631,1265,0.03,994,622,622,1244
15,Kansas,0.04,1199,632,628,1260,0.04,1419,633,631,1265,0.04,1496,618,623,1241
16,Kentucky,0.04,1608,631,616,1247,0.04,1925,630,618,1248,0.04,2047,620,612,1232
17,Louisiana,0.04,1696,611,586,1198,0.04,2027,615,595,1210,0.05,2191,610,591,1200
18,Maine,0.95,13826,513,499,1012,0.99,14310,512,501,1013,0.99,14210,512,502,1013
19,Maryland,0.69,42919,536,524,1060,0.76,48040,545,535,1080,0.82,51094,535,523,1058
20,Massachusetts,0.76,56024,555,551,1107,0.8,59382,562,563,1125,0.81,59671,559,561,1120
21,Michigan,1.0,110082,509,495,1005,1.0,115281,511,499,1011,1.0,113724,507,496,1003
22,Minnesota,0.03,2061,644,651,1295,0.04,2464,643,655,1298,0.04,2567,636,648,1284
23,Mississippi,0.02,716,634,607,1242,0.03,806,630,606,1236,0.03,781,628,608,1237
24,Missouri,0.03,1990,640,631,1271,0.04,2420,633,629,1262,0.04,2644,622,615,1236
25,Montana,0.1,990,605,591,1196,0.1,952,606,592,1198,0.09,880,603,596,1199
26,Nebraska,0.03,680,629,625,1253,0.03,688,629,623,1252,0.03,714,628,631,1260
27,Nevada,0.26,6245,563,553,1116,0.23,5588,574,566,1140,0.2,4957,580,576,1156
28,New Hampshire,0.96,14758,532,520,1052,0.96,14834,535,528,1063,0.95,14464,533,526,1059
29,New Jersey,0.7,72173,530,526,1056,0.82,84672,547,547,1094,0.82,84602,544,545,1090
30,New Mexico,0.11,2342,577,561,1138,0.16,3225,552,540,1093,0.18,3705,543,530,1073
31,New York,0.67,135141,528,523,1052,0.79,162551,534,534,1068,0.79,162179,531,533,1064
32,North Carolina,0.49,49595,546,535,1081,0.52,54987,554,543,1098,0.51,54462,554,546,1100
33,North Dakota,0.02,123,635,621,1256,0.02,148,640,643,1283,0.02,149,627,636,1263
34,Ohio,0.12,14545,578,570,1149,0.18,22992,552,547,1099,0.19,22904,550,548,1097
35,Oklahoma,0.07,2776,530,517,1047,0.08,3337,541,521,1062,0.22,9272,490,472,963
36,Oregon,0.43,15866,560,548,1108,0.48,17476,564,553,1117,0.51,18625,562,550,1112
37,Pennsylvania,0.65,89218,540,531,1071,0.7,96740,547,539,1086,0.7,95794,545,537,1082
38,Rhode Island,0.71,7205,539,524,1062,0.97,10161,513,505,1018,1.0,11478,503,492,995
39,South Carolina,0.5,22292,543,521,1064,0.55,25390,547,523,1070,0.68,31633,526,504,1030
40,South Dakota,0.03,237,612,603,1216,0.03,260,622,618,1240,0.03,266,633,635,1268
41,Tennessee,0.05,3495,623,604,1228,0.06,4181,624,607,1231,0.07,4374,618,602,1220
42,Texas,0.62,204409,513,507,1020,0.66,226374,520,512,1032,0.68,236665,515,507,1022
43,Utah,0.03,1277,624,614,1238,0.04,1425,480,530,1010,0.04,1506,614,615,1230
44,Vermont,0.6,4303,562,551,1114,0.64,4323,565,554,1120,0.66,4373,560,546,1106
45,Virginia,0.65,57453,561,541,1102,0.68,61576,567,550,1117,0.68,61182,567,551,1119
46,Washington,0.64,43911,541,534,1075,0.69,48574,543,538,1081,0.7,49630,539,535,1074
47,West Virginia,0.14,2406,558,528,1086,0.28,5058,513,486,999,0.99,17298,483,460,943
48,Wisconsin,0.03,1780,642,649,1291,0.03,1923,641,653,1294,0.03,1969,635,648,1283
49,Wyoming,0.03,144,626,604,1230,0.03,169,633,625,1257,0.03,156,623,615,1238
