state,2018,2017,Source for 2017 and 2018 = https://en.wikipedia.org/wiki/List_of_U.S._states_and_territories_by_income
Alabama,"$49,861","$48,123",
Alaska,"$74,346","$73,181",
Arizona,"$59,246","$56,581",
Arkansas,"$47,062","$45,869",
California,"$75,277","$71,805",
Colorado,"$71,953","$69,117",
Connecticut,"$76,348","$74,168",
Delaware,"$64,805","$62,852",
District of Columbia,,,
Florida,"$55,462","$52,594",
Georgia,"$58,756","$56,183",
Hawaii,"$80,212","$77,765",
Idaho,"$55,583","$52,225",
Illinois,"$65,030","$62,992",
Indiana,"$55,746","$54,181",
Iowa,"$59,955","$58,570",
Kansas,"$58,218","$56,422",
Kentucky,"$50,247","$48,375",
Louisiana,"$47,905","$46,145",
Maine,"$55,602","$55,277",
Maryland,"$83,242","$80,776",
Massachusetts,"$79,835","$77,385",
Michigan,"$56,697","$54,909",
Minnesota,"$70,315","$68,388",
Mississippi,"$44,717","$43,529",
Missouri,"$54,478","$53,578",
Montana,"$55,328","$53,386",
Nebraska,"$59,566","$59,970",
Nevada,"$58,646","$58,003",
New Hampshire,"$74,991","$73,381",
New Jersey,"$81,740","$80,088",
New Mexico,"$47,169","$46,744",
New York,"$67,844","$64,894",
North Carolina,"$53,855","$52,752",
North Dakota,"$63,837","$61,843",
Ohio,"$56,111","$54,021",
Oklahoma,"$51,924","$50,051",
Oregon,"$63,426","$60,212",
Pennsylvania,"$60,905","$59,105",
Puerto Rico,"$20,296","$19,343",
Rhode Island,"$64,340","$63,870",
South Carolina,"$52,306","$50,570",
South Dakota,"$56,274","$56,521",
Tennessee,"$52,375","$51,340",
Texas,"$60,629","$59,206",
Utah,"$71,414","$65,358",
Vermont,"$60,782","$57,513",
Virgin Islands,,,
Virginia,"$72,577","$71,535",
Washington,"$74,073","$70,979",
West Virginia,"$44,097","$43,469",
Wisconsin,"$60,773","$59,305",
Wyoming,"$61,584","$60,434",
